NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Rocky Mount, NC Metro Area",920,1796,1137,1618,3954,21841,2174,8629,67078,1333050,57153,21582,142279,68789,116485,40580,,msa,40580,,2024
"Rolla, MO Micro Area",798,899,509,519,1196,6640,425,2966,20295,337385,17648,7070,42143,20242,36714,40620,,msa,40620,,2024
"Rome, GA Metro Area",1014,991,800,1208,2844,13422,1375,4062,40918,935445,40154,15318,95616,46933,79633,40660,,msa,40660,,2024
"Roseburg, OR Micro Area",1055,1127,1046,774,2931,12952,1481,3043,50562,763835,37019,18011,110710,46307,93331,40700,,msa,40700,,2024
"Roswell, NM Micro Area",867,465,228,413,1674,6808,988,3152,26864,474485,24552,14997,61730,28084,50350,40740,,msa,40740,,2024
"Ruidoso, NM Micro Area",956,111,52,220,518,2319,578,7871,17871,145555,7264,3864,20062,8954,17293,40760,,msa,40760,,2024
"Russellville, AL Micro Area",676,134,179,295,347,3303,641,2048,14002,342455,13194,6040,31559,14163,24809,40770,,msa,40770,,2024
"Russellville, AR Micro Area",826,615,490,785,1450,9912,1716,3797,36468,703385,34288,13385,80673,38541,67247,40780,,msa,40780,,2024
"Ruston, LA Micro Area",825,429,412,678,3088,8549,1639,2340,20827,323675,16891,13575,43531,20273,39691,40820,,msa,40820,,2024
"Rutland, VT Micro Area",1000,517,424,486,1560,6304,354,8670,33991,577940,25162,6901,58726,29790,51309,40860,,msa,40860,,2024
"Sacramento-Roseville-Folsom, CA Metro Area",1819,29296,22524,32220,90637,326239,16905,72862,954751,24215705,892509,275672,2394695,1220118,1951272,40900,,msa,40900,,2024
"Safford, AZ Micro Area",935,184,131,154,409,3424,495,1376,14122,321960,14104,6295,36466,16141,30250,40940,,msa,40940,,2024
"Saginaw, MI Metro Area",947,1744,1022,1644,5786,20188,1646,8250,86208,1621305,72451,33290,182852,87671,153345,40980,,msa,40980,,2024
"St. Cloud, MN Metro Area",1042,1540,1431,2087,6415,25302,1243,6111,84233,2080230,94509,23946,195330,111956,159392,41060,,msa,41060,,2024
"St. George, UT Metro Area",1566,1845,1752,1965,5004,19792,1158,12403,82189,1392290,72609,19116,194330,88712,154215,41100,,msa,41100,,2024
"St. Joseph, MO-KS Metro Area",895,1395,910,814,3055,14475,1222,6790,53673,996970,50802,15395,113789,58002,96657,41140,,msa,41140,,2024
"St. Louis, MO-IL Metro Area",1113,26803,19516,25639,75309,343477,22258,112916,1273302,29218560,1175702,288411,2748655,1480241,2272280,41180,,msa,41180,,2024
"St. Marys, PA Micro Area",719,127,307,107,449,2725,451,3555,16880,254845,13935,2625,30193,15454,25484,41260,,msa,41260,,2024
