place_id,place_name,hpi_type,hpi_flavor,yr,avg_index_nsa,quarters_available,NAME,median_income,total_pop,median_age,bachelors_count,masters_count,total_occupied_units,owner_occupied_units,median_home_value,cbsa_code,year,homeownership_rate
14260,"Boise City, ID",traditional,all-transactions,2014,171.16750000000002,4,"Boise City, ID Metro Area",50776,639616,34.9,82552,27336,232248,158062,164400,14260,2014,0.6805742137714856
14260,"Boise City, ID",traditional,all-transactions,2019,289.835,4,"Boise City, ID Metro Area",60568,710743,36.3,99679,34428,260369,181466,239900,14260,2019,0.6969570110112955
14260,"Boise City, ID",traditional,all-transactions,2024,482.5325,4,"Boise City, ID Metro Area",85987,811115,37.6,135013,49142,304187,220621,468900,14260,2024,0.7252808305417391
14500,"Boulder, CO",traditional,all-transactions,2014,224.4525,4,"Boulder, CO Metro Area",69407,305166,35.7,61713,34828,121526,76007,358000,14500,2014,0.6254381778384872
14500,"Boulder, CO",traditional,all-transactions,2019,337.9525,4,"Boulder, CO Metro Area",83019,322510,36.6,72262,40006,127415,79273,497300,14500,2019,0.6221637954714908
14500,"Boulder, CO",traditional,all-transactions,2024,471.465,4,"Boulder, CO Metro Area",103994,328961,37.7,75396,45033,137008,84900,756300,14500,2024,0.6196718439799136
14540,"Bowling Green, KY",traditional,all-transactions,2014,155.8225,4,"Bowling Green, KY Metro Area",43396,162322,34.9,13644,6903,62821,39536,124300,14540,2014,0.6293436908040305
14540,"Bowling Green, KY",traditional,all-transactions,2019,193.22750000000002,4,"Bowling Green, KY Metro Area",49700,174498,35.1,17808,8158,65672,41509,151000,14540,2019,0.6320654160068218
14540,"Bowling Green, KY",traditional,all-transactions,2024,298.2575,4,"Bowling Green, KY Metro Area",63328,186959,35.4,19768,8953,73344,44400,233700,14540,2024,0.6053664921465969
14580,"Bozeman, MT",traditional,all-transactions,2014,232.385,4,"Bozeman, MT Micro Area",54298,93108,33.0,18330,5780,37495,22987,263200,14580,2014,0.6130684091212162
14580,"Bozeman, MT",traditional,all-transactions,2019,350.065,4,"Bozeman, MT Micro Area",66397,108063,33.4,22434,7957,43777,26781,357100,14580,2019,0.611759599789844
14580,"Bozeman, MT",traditional,all-transactions,2024,614.41,4,"Bozeman, MT Metro Area",93528,124074,34.2,27561,10286,51215,31270,667600,14580,2024,0.6105633115298252
14740,"Bremerton-Silverdale-Port Orchard, WA",traditional,all-transactions,2014,187.6,4,"Bremerton-Silverdale, WA Metro Area",62473,253614,39.3,33302,12951,97993,65511,259000,14740,2014,0.6685273437898626
14740,"Bremerton-Silverdale-Port Orchard, WA",traditional,all-transactions,2019,291.58000000000004,4,"Bremerton-Silverdale-Port Orchard, WA Metro Area",75411,265882,39.1,40043,15717,103913,70456,329900,14740,2019,0.6780287355768768
14740,"Bremerton-Silverdale-Port Orchard, WA",traditional,all-transactions,2024,435.5775,4,"Bremerton-Silverdale-Port Orchard, WA Metro Area",104158,277881,40.2,47450,20300,108537,76121,555100,14740,2024,0.7013368712973456
14860,"Bridgeport-Stamford-Danbury, CT",traditional,all-transactions,2014,189.72,4,"Bridgeport-Stamford-Norwalk, CT Metro Area",83163,934215,39.6,160572,92566,333502,228331,422400,14860,2014,0.6846465688361689
14860,"Bridgeport-Stamford-Danbury, CT",traditional,all-transactions,2019,202.12,4,"Bridgeport-Stamford-Norwalk, CT Metro Area",95645,943926,40.6,172191,100347,340189,228111,428500,14860,2019,0.6705419634379712
14860,"Bridgeport-Stamford-Danbury, CT",traditional,all-transactions,2024,319.17,4,"Bridgeport-Stamford-Danbury, CT Metro Area",114565,956330,41.0,184950,109392,355012,234406,564500,14860,2024,0.6602762723513571
15180,"Brownsville-Harlingen, TX",traditional,all-transactions,2014,153.3475,4,"Brownsville-Harlingen, TX Metro Area",33390,415103,31.0,27313,7401,119695,80361,77400,15180,2014,0.6713814277956472
15180,"Brownsville-Harlingen, TX",traditional,all-transactions,2019,178.665,4,"Brownsville-Harlingen, TX Metro Area",38758,421666,31.7,29859,9510,124605,82097,85800,15180,2019,0.6588579912523574
15180,"Brownsville-Harlingen, TX",traditional,all-transactions,2024,296.9375,4,"Brownsville-Harlingen, TX Metro Area",52601,426120,32.7,38820,13763,138433,90278,136500,15180,2024,0.6521421915294764
15260,"Brunswick-St. Simons, GA",traditional,all-transactions,2014,170.02,4,"Brunswick, GA Metro Area",44055,113572,40.6,10017,4790,43257,28523,130900,15260,2014,0.6593846082714936
15260,"Brunswick-St. Simons, GA",traditional,all-transactions,2019,225.14249999999998,4,"Brunswick, GA Metro Area",50671,117400,42.7,12412,5869,46984,31641,155300,15260,2019,0.6734420228162779
15260,"Brunswick-St. Simons, GA",traditional,all-transactions,2024,373.6175,4,"Brunswick-St. Simons, GA Metro Area",66623,115074,43.6,14318,5957,47209,33022,242500,15260,2024,0.699485267639645
15380,"Buffalo-Cheektowaga, NY",traditional,all-transactions,2014,156.685,4,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",50726,1135667,40.9,128514,77737,470035,311308,122600,15380,2014,0.6623081259906177
15380,"Buffalo-Cheektowaga, NY",traditional,all-transactions,2019,199.26999999999998,4,"Buffalo-Cheektowaga, NY Metro Area",57621,1130175,40.8,146777,84748,478104,314126,148500,15380,2019,0.6570244130984053
