vintage,cbsa_code,county_fips
2014,12940,22121
2014,12940,22125
2014,12980,26025
2014,13020,26017
2014,13060,48321
2014,13100,31067
2014,13140,48199
2014,13140,48245
2014,13140,48351
2014,13140,48361
2014,13180,55027
2014,13220,54019
2014,13220,54081
2014,13260,18093
2014,13300,48025
2014,13340,39091
2014,13380,53073
2014,13420,27007
2014,13460,41017
2014,13500,45069
2014,13540,50003
2014,13620,33007
2014,13620,50009
2014,13660,26107
2014,13700,48173
2014,13700,48227
2014,13720,51051
2014,13720,51195
2014,13720,51720
2014,13740,30009
2014,13740,30037
2014,13740,30111
2014,13780,36007
2014,13780,36107
2014,13820,01007
2014,13820,01009
2014,13820,01021
2014,13820,01073
2014,13820,01115
2014,13820,01117
2014,13820,01127
2014,13900,38015
2014,13900,38059
2014,13900,38065
2014,13900,38085
2014,13940,16011
2014,13980,51063
2014,13980,51071
2014,13980,51121
2014,13980,51155
2014,13980,51750
2014,14010,17039
2014,14010,17113
2014,14020,18105
2014,14020,18119
2014,14100,42037
2014,14100,42093
2014,14140,51185
2014,14140,54055
2014,14180,05093
2014,14220,22117
2014,14260,16001
2014,14260,16015
2014,14260,16027
2014,14260,16045
2014,14260,16073
2014,14340,19015
2014,14380,37189
2014,14420,48233
2014,14454,25021
2014,14454,25023
2014,14454,25025
2014,14460,25009
2014,14460,25017
2014,14460,25021
2014,14460,25023
2014,14460,25025
2014,14460,33015
2014,14460,33017
2014,14500,08013
2014,14540,21003
2014,14540,21031
2014,14540,21061
2014,14540,21227
2014,14580,30031
2014,14620,42083
2014,14660,27021
2014,14660,27035
2014,14700,29209
2014,14700,29213
2014,14720,08117
2014,14740,53035
2014,14780,48477
2014,14820,37175
2014,14860,09001
2014,15020,28085
2014,15060,41015
2014,15100,46011
2014,15180,48061
2014,15220,48049
2014,15260,13025
2014,15260,13127
2014,15260,13191
2014,15340,39033
2014,15380,36029
2014,15380,36063
2014,15420,16031
2014,15420,16067
2014,15460,17071
2014,15460,19057
2014,15500,37001
2014,15540,50007
2014,15540,50011
2014,15540,50013
2014,15580,30093
2014,15620,26113
2014,15620,26165
2014,15660,13129
2014,15680,24037
2014,15700,24019
2014,15740,39059
2014,15764,25009
2014,15764,25017
2014,15780,05013
2014,15780,05103
2014,15804,34005
2014,15804,34007
2014,15804,34015
2014,15820,21217
2014,15860,08043
