Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202399,267,24580, ,Green Bay  WI ,578,578,232580,109,218,40848,1,4,70,14,193,23294,578,578,232580,109,218,40848,1,4,70,14,193,23294
202399,268,15500, ,Burlington  NC ,1641,1641,261493,3,6,385,0,0,0,29,1083,92746,1641,1641,261493,3,6,385,0,0,0,29,1083,92746
202399,268,24660,C,Greensboro-High Point  NC ,2368,2368,622017,20,40,5086,0,0,0,35,1099,177698,2368,2368,622017,20,40,5086,0,0,0,35,1099,177698
202399,268,49180, ,Winston-Salem  NC ,3567,3567,994790,5,10,2056,1,3,276,60,1494,171407,3297,3297,933039,5,10,2056,0,0,0,48,1434,169041
202399,272,24780, ,Greenville  NC ,950,950,187618,20,40,5779,0,0,0,14,384,45172,903,903,178218,20,40,5779,0,0,0,14,384,45172
202399,273,24860, ,Greenville-Anderson  SC ,6685,6685,2043933,198,396,42243,38,140,12539,27,463,88603,6670,6670,2040927,198,396,42243,38,140,12539,27,463,88603
202399,273,43900, ,Spartanburg  SC ,2824,2824,523852,1,2,485,0,0,0,3,41,4918,469,469,116955,1,2,485,0,0,0,0,0,0
202399,276,23900,C,Gettysburg  PA ,338,338,84253,0,0,0,0,0,0,0,0,0,338,338,84253,0,0,0,0,0,0,0,0,0
202399,276,25420,C,Harrisburg-Carlisle  PA ,1213,1213,320646,10,20,1741,13,50,8943,37,581,72643,1124,1124,294800,10,20,1741,13,50,8943,37,581,72643
202399,276,30140, ,Lebanon  PA ,216,216,32110,2,4,526,0,0,0,2,39,5930,202,202,29071,2,4,526,0,0,0,1,34,5413
202399,276,49620, ,York-Hanover  PA ,983,983,278939,7,14,2352,6,24,5060,17,146,20673,925,925,261318,7,14,2352,6,24,5060,17,146,20673
202399,277,25500,C,Harrisonburg  VA ,500,500,117381,31,62,9618,1,4,550,5,29,3475,500,500,117381,31,62,9618,1,4,550,4,24,2992
202399,277,44420, ,Staunton  VA ,415,415,105317,3,6,604,1,3,130,7,181,27722,415,415,105317,3,6,604,1,3,130,7,181,27722
202399,278,25540,C,Hartford-East Hartford-Middletown  CT ,670,670,192138,10,20,4023,10,39,5910,63,1385,202540,596,596,174366,10,20,4023,10,39,5910,63,1385,202540
202399,278,35980, ,Norwich-New London  CT ,223,223,71272,3,6,1191,0,0,0,1,123,17954,168,168,54816,3,6,1191,0,0,0,1,123,17954
202399,279,25620, ,Hattiesburg  MS ,131,131,26466,1,2,280,0,0,0,3,36,4300,76,76,14235,1,2,280,0,0,0,3,36,4300
202399,284,26300, ,Hot Springs  AR ,78,78,27814,3,6,720,0,0,0,0,0,0,78,78,27814,3,6,720,0,0,0,0,0,0
202399,288,26420, ,Houston-The Woodlands-Sugar Land  TX ,50444,50444,13208461,893,1786,282039,10,34,4457,527,16491,2290083,49119,49119,12841531,893,1786,282039,10,34,4457,527,16491,2290083
202399,290,19460, ,Decatur  AL ,307,307,77748,0,0,0,3,12,540,0,0,0,307,307,77748,0,0,0,3,12,540,0,0,0
202399,290,26620,C,Huntsville  AL ,3908,3908,813859,45,90,14325,1,4,510,40,1938,304302,2359,2359,437272,45,90,14325,1,4,510,40,1938,304302
202399,292,26820, ,Idaho Falls  ID ,857,857,173190,2,4,461,39,156,19147,20,791,90513,851,851,171728,2,4,461,39,156,19147,20,791,90513
202399,294,18020, ,Columbus  IN ,156,156,60116,0,0,0,0,0,0,0,0,0,156,156,60116,0,0,0,0,0,0,0,0,0
202399,294,26900, ,Indianapolis-Carmel-Anderson  IN ,7252,7252,2765473,101,202,42872,42,140,28435,160,4960,987916,7178,7178,2752403,101,202,42872,42,140,28435,159,4949,985345
202399,294,34620, ,Muncie  IN ,82,82,30978,0,0,0,0,0,0,0,0,0,59,59,24330,0,0,0,0,0,0,0,0,0
202399,296,27060, ,Ithaca  NY ,146,146,39306,4,8,1264,2,6,3153,12,183,34290,64,64,15631,2,4,650,2,6,3153,6,153,29196
202399,297,27180, ,Jackson  TN ,428,428,103723,3,6,618,0,0,0,0,0,0,158,158,42008,3,6,618,0,0,0,0,0,0
202399,298,27140, ,Jackson  MS ,1132,1132,297249,0,0,0,2,7,631,8,62,8016,1016,1016,270182,0,0,0,1,4,500,8,62,8016
202399,300,27260,C,Jacksonville  FL ,12479,12479,3324448,149,298,40394,34,135,8281,190,7414,1086199,12420,12420,3298319,149,298,40394,34,135,8281,190,7414,1086199
202399,304,27740, ,Johnson City  TN ,765,765,223292,26,52,6195,4,13,1774,11,214,34714,616,616,202856,26,52,6195,4,13,1774,11,214,34714
202399,304,28700, ,Kingsport-Bristol  TN-VA ,748,748,198608,2,4,630,2,6,692,8,40,2339,598,598,181435,2,4,630,0,0,0,0,0,0
202399,306,27780, ,Johnstown  PA ,44,44,16319,0,0,0,1,3,213,0,0,0,40,40,15269,0,0,0,1,3,213,0,0,0
202399,308,27860, ,Jonesboro  AR ,615,615,96793,55,110,7859,59,199,10234,16,103,5705,128,128,23179,9,18,1531,3,10,500,1,6,200
202399,309,27900, ,Joplin  MO ,529,529,100409,47,94,11773,13,52,2523,14,122,12305,456,456,90258,47,94,11773,13,52,2523,4,72,9815
202399,310,12980, ,Battle Creek  MI ,131,131,26339,0,0,0,0,0,0,0,0,0,120,120,23656,0,0,0,0,0,0,0,0,0
202399,310,28020, ,Kalamazoo-Portage  MI ,409,409,116712,1,2,501,2,7,1840,6,300,34590,403,403,113340,1,2,501,2,7,1840,6,300,34590
202399,312,28140, ,Kansas City  MO-KS ,4299,4299,1510752,139,278,54919,54,204,44407,60,2733,469898,4130,4130,1456118,139,278,54919,54,204,44407,60,2733,469898
202399,312,29940, ,Lawrence  KS ,191,191,60908,8,16,2805,1,4,320,1,12,1500,184,184,59025,6,12,2412,1,4,320,1,12,1500
202399,312,41140, ,St. Joseph  MO-KS ,75,75,18789,1,2,350,0,0,0,3,20,2700,37,37,10786,1,2,350,0,0,0,3,20,2700
202399,313,28420,C,Kennewick-Richland  WA ,1090,1090,375752,8,16,4234,28,108,13732,29,845,123540,810,810,293112,6,12,3642,25,99,12176,20,718,109409
202399,313,47460, ,Walla Walla  WA ,177,177,52477,17,34,5823,0,0,0,6,64,9651,170,170,51777,17,34,5823,0,0,0,6,64,9651
202399,315,28940, ,Knoxville  TN ,4218,4218,1222360,46,92,17342,38,132,23731,67,1959,380238,3936,3936,1159269,46,92,17342,38,132,23731,54,1778,363383
202399,315,34100, ,Morristown  TN ,685,685,195469,6,12,760,28,103,9810,1,32,5250,606,606,181149,5,10,640,28,103,9810,1,32,5250
202399,316,29020, ,Kokomo  IN ,114,114,33317,12,24,6206,0,0,0,0,0,0,97,97,28122,12,24,6206,0,0,0,0,0,0
202399,318,29180, ,Lafayette  LA ,2008,2008,457349,0,0,0,0,0,0,28,378,43162,1757,1757,403393,0,0,0,0,0,0,28,378,43162
202399,320,29200, ,Lafayette-West Lafayette  IN ,506,506,186413,1,2,210,0,0,0,30,1585,239058,497,497,185188,0,0,0,0,0,0,17,1225,198573
202399,324,29340, ,Lake Charles  LA ,576,576,124133,12,24,2768,0,0,0,11,432,85795,576,576,124133,12,24,2768,0,0,0,11,432,85795
202399,332,29820,C,Las Vegas-Henderson-Paradise  NV ,10087,10087,2988131,20,40,6544,57,210,32928,94,2736,459038,10080,10080,2984984,20,40,6544,57,210,32928,94,2736,459038
202399,336,30460,C,Lexington-Fayette  KY ,1319,1319,357996,10,20,3354,15,50,8493,42,1053,100633,664,664,213227,7,14,2516,4,15,3364,17,217,18100
202399,338,30620, ,Lima  OH ,71,71,18513,3,6,720,0,0,0,0,0,0,37,37,10709,3,6,720,0,0,0,0,0,0
202399,339,30700, ,Lincoln  NE ,849,849,282728,3,6,1314,6,23,2816,45,1259,198834,827,827,278128,3,6,1314,6,23,2816,45,1259,198834
202399,340,30780, ,Little Rock-North Little Rock-Conway  AR ,1932,1932,490641,47,94,9217,14,53,5948,38,585,61360,1903,1903,486131,47,94,9217,14,53,5948,38,585,61360
202399,340,38220, ,Pine Bluff  AR ,43,43,7983,3,6,560,0,0,0,4,48,9865,30,30,5640,3,6,560,0,0,0,4,48,9865
202399,348,31080,C,Los Angeles-Long Beach-Anaheim  CA ,12035,12035,3432500,746,1492,355887,174,586,215981,483,16654,3102371,11135,11135,3161138,706,1412,332880,163,553,209092,419,16047,3002875
202399,348,37100, ,Oxnard-Thousand Oaks-Ventura  CA ,400,400,128379,0,0,0,28,91,20843,30,672,105943,288,288,90626,0,0,0,27,88,20370,20,563,94356
202399,348,40140, ,Riverside-San Bernardino-Ontario  CA ,12463,12463,3587168,104,208,27699,68,249,49416,606,7348,973695,11749,11749,3406786,104,208,27699,68,249,49416,603,7309,968839
202399,350,21060, ,Elizabethtown-Fort Knox  KY ,537,537,125303,61,122,14999,52,203,25342,38,995,110520,534,534,124549,61,122,14999,52,203,25342,38,995,110520
