NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Cedar Rapids, IA Metro Area",64687,270056,38.4,40046,12621,109313,82000,155800,16300,,msa,16300,,2019
"Cedartown, GA Micro Area",44891,41908,37.0,1967,1162,15038,9712,110700,16340,,msa,16340,,2019
"Celina, OH Micro Area",62952,40884,39.6,3067,1691,16234,12503,153800,16380,,msa,16380,,2019
"Central City, KY Micro Area",43590,30951,42.4,1711,790,11351,9039,93900,16420,,msa,16420,,2019
"Centralia, IL Micro Area",47519,37743,42.2,2575,1105,15946,11730,77900,16460,,msa,16460,,2019
"Centralia, WA Micro Area",53484,78145,43.1,6132,3037,30618,21630,209600,16500,,msa,16500,,2019
"Chambersburg-Waynesboro, PA Metro Area",63379,154147,41.6,13811,6987,60438,43021,180400,16540,,msa,16540,,2019
"Champaign-Urbana, IL Metro Area",53641,226323,30.9,28383,18796,89061,49156,159700,16580,,msa,16580,,2019
"Charleston, WV Metro Area",45225,264113,43.4,24085,11256,110818,79202,107600,16620,,msa,16620,,2019
"Charleston-Mattoon, IL Micro Area",48142,62189,37.0,5740,2860,25225,16247,101500,16660,,msa,16660,,2019
"Charleston-North Charleston, SC Metro Area",63649,774508,37.2,123181,47840,291427,192948,236700,16700,,msa,16700,,2019
"Charlotte-Concord-Gastonia, NC-SC Metro Area",63217,2545560,37.5,402990,154376,952806,625673,200000,16740,,msa,16740,,2019
"Charlottesville, VA Metro Area",72697,215445,38.3,36288,21283,84003,53435,291100,16820,,msa,16820,,2019
"Chattanooga, TN-GA Metro Area",53126,556209,40.4,68482,26537,219166,147049,163100,16860,,msa,16860,,2019
"Chico, CA Metro Area",52537,225817,37.1,26518,8461,85320,50331,271700,17020,,msa,17020,,2019
"Chillicothe, OH Micro Area",51092,76948,41.0,5515,2358,28802,20428,123800,17060,,msa,17060,,2019
"Cincinnati, OH-KY-IN Metro Area",63987,2201741,37.9,309835,137736,861242,572079,168900,17140,,msa,17140,,2019
"Clarksburg, WV Micro Area",51552,93332,42.8,9272,4106,36397,27545,116200,17220,,msa,17220,,2019
"Clarksdale, MS Micro Area",29121,23255,34.8,1501,702,8782,4442,68300,17260,,msa,17260,,2019
