NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,year
"Lincoln, NE Metro Area",75049,344337,34.5,56919,22658,140914,83953,273500,30700,2024
"Little Rock-North Little Rock-Conway, AR Metro Area",67154,758629,37.6,106281,45436,311547,198580,214100,30780,2024
"Lock Haven, PA Micro Area",60816,37798,39.8,3396,1422,15424,11152,175900,30820,2024
"Logan, UT-ID Metro Area",81126,155102,26.8,21156,8824,49371,32142,436800,30860,2024
"Logansport, IN Micro Area",56403,37680,41.8,2704,1298,15037,11167,133800,30900,2024
"Longview, TX Metro Area",66647,291044,38.1,27747,10156,108174,76114,184400,30980,2024
"Longview-Kelso, WA Metro Area",76531,112360,41.5,9404,3630,43943,29876,397500,31020,2024
"Los Alamos, NM Micro Area",147139,19435,39.3,3590,3247,8247,6171,495800,31060,2024
"Los Angeles-Long Beach-Anaheim, CA Metro Area",95958,12974487,38.5,2205213,855674,4499409,2178642,871300,31080,2024
"Louisville/Jefferson County, KY-IN Metro Area",73863,1372558,39.4,188635,91779,558306,384757,248700,31140,2024
"Lubbock, TX Metro Area",63629,358708,32.4,41806,17975,140553,80347,202700,31180,2024
"Ludington, MI Micro Area",64748,29207,47.3,3527,1700,12801,10025,219600,31220,2024
"Lufkin, TX Micro Area",60960,87275,37.8,6488,3173,32271,20650,163500,31260,2024
"Lumberton, NC Micro Area",41978,116902,36.4,7187,3125,43134,28399,94500,31300,2024
"Lynchburg, VA Metro Area",68996,263798,40.0,34863,15458,103401,74033,239700,31340,2024
"Macomb, IL Micro Area",52795,26920,34.9,2660,1744,11856,7523,107500,31380,2024
"Macon-Bibb County, GA Metro Area",59526,234943,38.6,20658,11863,88590,54816,188300,31420,2024
"Madison, IN Micro Area",64577,32998,41.8,2551,1574,12790,9188,194600,31500,2024
"Madison, WI Metro Area",88804,691830,37.0,142503,60620,301580,181998,372400,31540,2024
"Madisonville, KY Micro Area",56815,45119,41.3,2964,1709,18397,13009,142800,31580,2024
"Magnolia, AR Micro Area",55334,22349,34.2,2026,883,8409,5948,152100,31620,2024
"Malvern, AR Micro Area",55405,33180,43.1,2613,1393,12310,9414,151100,31680,2024
"Manchester-Nashua, NH Metro Area",103545,426378,41.0,78243,39666,168740,113710,421100,31700,2024
"Manhattan, KS Metro Area",65469,133965,27.3,17470,7923,51234,26637,223700,31740,2024
"Manitowoc, WI Micro Area",69148,81406,45.1,9490,2989,35188,27129,186900,31820,2024
"Mankato, MN Metro Area",75808,104282,34.0,14866,4564,40608,26328,268100,31860,2024
"Mansfield, OH Metro Area",59509,125099,40.9,10053,4333,50111,34036,164800,31900,2024
"Marietta, OH Micro Area",63603,58978,44.0,5750,2441,24779,18680,185600,31930,2024
"Marinette, WI-MI Micro Area",61417,65293,49.0,6711,2263,29412,23911,156600,31940,2024
"Marion, IN Micro Area",53522,66295,38.7,5417,2845,26773,19470,122300,31980,2024
"Marion, NC Micro Area",57168,44817,44.3,4079,1452,18638,14088,171100,32000,2024
"Marion, OH Micro Area",59371,65020,40.1,4436,1832,24683,16651,156800,32020,2024
"Marion-Herrin, IL Micro Area",65604,66876,41.6,7570,3792,28983,20477,156400,32060,2024
"Marquette, MI Micro Area",65429,67112,39.3,11034,3854,28255,19679,216500,32100,2024
"Marshall, MN Micro Area",75303,25503,37.4,3634,1122,10108,7328,200700,32140,2024
"Marshall, MO Micro Area",57931,23231,35.3,2152,926,8053,5622,150500,32180,2024
"Marshalltown, IA Micro Area",73315,40114,38.5,4012,1538,15496,11622,145500,32260,2024
"Martin, TN Micro Area",51880,33016,37.3,2945,1296,13384,8874,151200,32280,2024
"Martinsville, VA Micro Area",49860,63638,45.2,4866,2351,26754,18982,130800,32300,2024
